dataset	canonical_drug
PRISM	CID:25073775
PRISM	CID:3657
PRISM	CID:5353432
PRISM	CID:4705
PRISM	CID:2756
PRISM	CID:9956637
PRISM	CID:27924
PRISM	CID:9934347
PRISM	CID:5287620
PRISM	CID:24180719
PRISM	CID:5950212
PRISM	CID:3503
PRISM	CID:16222096
PRISM	CID:2244
PRISM	CID:5328768
PRISM	CID:11427553
PRISM	CID:9915743
PRISM	CID:68873
PRISM	CID:6450813
PRISM	CID:444036
PRISM	CID:6918525
PRISM	CID:449054
PRISM	CID:222154
PRISM	CID:108143
PRISM	CID:6918508
PRISM	CID:44187362
PRISM	CID:9837243
PRISM	CID:5816
PRISM	CID:126941
PRISM	CID:37463
PRISM	CID:253602
PRISM	CID:165457
PRISM	CID:4761
PRISM	CID:25136944
PRISM	CID:46220502
PRISM	CID:54459
PRISM	CID:24771867
PRISM	CID:462382
PRISM	CID:47576
PRISM	CID:3081361
PRISM	CID:2051
PRISM	CID:65907
PRISM	CID:11676786
PRISM	CID:5952
PRISM	CID:49830590
PRISM	CID:25108278
PRISM	CID:53495165
PRISM	CID:189821
PRISM	CID:8042
PRISM	CID:5362422
PRISM	CID:4030
PRISM	CID:54613037
PRISM	CID:10294813
PRISM	CID:25254071
PRISM	CID:11609586
PRISM	CID:31307
PRISM	CID:4369524
PRISM	CID:68634
PRISM	CID:5825881
PRISM	CID:135421442
PRISM	CID:67377767
PRISM	CID:2179
PRISM	CID:11656518
PRISM	CID:2724385
PRISM	CID:71731823
PRISM	CID:90661669
PRISM	CID:5281078
PRISM	CID:4369491
PRISM	CID:16759169
PRISM	CID:24821094
PRISM	NAME:PZ
PRISM	CID:6538897
PRISM	CID:448042
PRISM	CID:11152667
PRISM	CID:11754511
PRISM	CID:44182295
PRISM	CID:10331844
PRISM	CID:54483521
PRISM	CID:135449332
PRISM	CID:9927531
PRISM	CID:10224714
PRISM	CID:60138149
PRISM	CID:6433083
PRISM	CID:6918454
PRISM	CID:6604934
PRISM	CID:49855250
PRISM	CID:441207
PRISM	CID:71315139
PRISM	CID:18343
PRISM	CID:10458325
PRISM	CID:73087
PRISM	CID:3468
PRISM	CID:24785538
PRISM	CID:9936746
PRISM	CID:56973724
PRISM	CID:4878
PRISM	CID:59472121
PRISM	CID:57345410
PRISM	CID:11712625
PRISM	CID:16760696
PRISM	CID:57335384
PRISM	CID:9865554
PRISM	CID:135398641
PRISM	CID:439260
PRISM	CID:9952884
PRISM	CID:3921152
PRISM	CID:24995524
PRISM	CID:24772860
PRISM	CID:71271629
PRISM	CID:6505803
PRISM	CID:5905
PRISM	CID:6167
PRISM	CID:5280453
PRISM	CID:15983966
PRISM	CID:25181577
PRISM	CID:2683
PRISM	CID:44607530
PRISM	CID:135398499
PRISM	CID:2733079
PRISM	CID:2353
PRISM	CID:56968072
PRISM	CID:5186
PRISM	CID:442088
PRISM	CID:46947264
